"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Acebutolol|Plasma (Peripheral Venous Blood) [µmol/l]"
5,1905,0.007838402
5,1920,0.007556447
6,0,0
6,3,4.847428E-06
6,6,0.0001964626
6,9,0.001298015
6,12,0.004480245
6,15,0.01111316
6,18,0.02253903
6,21,0.03987268
6,24,0.06386201
6,27,0.09482288
6,30,0.1326427
6,33,0.1768332
6,36,0.2266113
6,39,0.2809907
6,42,0.3388713
6,45,0.3991189
6,48,0.4606264
6,51,0.5223614
6,54,0.5833974
6,57,0.642932
6,60,0.7002937
6,63,0.7549418
6,66,0.8064587
6,69,0.854541
6,72,0.8989869
6,75,0.9396824
6,78,0.9765871
6,81,1.009722
6,84,1.039159
6,87,1.065009
6,90,1.087414
6,93,1.106538
6,96,1.122562
6,99,1.135674
6,102,1.14607
6,105,1.153944
6,108,1.159492
6,111,1.162902
6,114,1.16436
6,117,1.164041
6,120,1.162115
6,135,1.133608
6,150,1.084843
6,165,1.026898
6,180,0.9666656
6,195,0.9080973
6,210,0.8532232
6,225,0.8028806
6,240,0.7572088
6,255,0.715969
6,270,0.6787443
6,285,0.6450584
6,300,0.6144415
6,315,0.5864644
6,330,0.560752
6,345,0.5369859
6,360,0.5149006
6,375,0.4942773
6,390,0.474937
6,405,0.4567329
6,420,0.439545
6,435,0.4232742
6,450,0.4078379
6,465,0.3931672
6,480,0.3792032
6,495,0.3658954
6,510,0.3531999
6,525,0.341078
6,540,0.3294954
6,555,0.318421
6,570,0.3078271
6,585,0.2976881
6,600,0.2879806
6,615,0.2786833
6,630,0.2697762
6,645,0.2612408
6,660,0.25306
6,675,0.2452177
6,690,0.2376986
6,705,0.2304886
6,720,0.2235743
6,735,0.2169427
6,750,0.2105817
6,765,0.2044796
6,780,0.1986254
6,795,0.1930083
6,810,0.187618
6,825,0.1824448
6,840,0.177479
6,855,0.1727117
6,870,0.1681339
6,885,0.1637374
6,900,0.1595139
6,915,0.1554557
6,930,0.1515552
6,945,0.1478054
6,960,0.1441993
6,975,0.1407304
6,990,0.1373922
6,1005,0.1341789
6,1020,0.1310845
6,1035,0.1281036
6,1050,0.1252308
6,1065,0.1224611
6,1080,0.1197898
6,1095,0.1172121
6,1110,0.1147238
6,1125,0.1123205
6,1140,0.1099985
6,1155,0.1077537
6,1170,0.1055826
6,1185,0.1034819
6,1200,0.1014481
6,1215,0.0994781
6,1230,0.09756903
6,1245,0.09571802
6,1260,0.09392236
6,1275,0.09217951
6,1290,0.09048703
6,1305,0.08884262
6,1320,0.08724408
6,1335,0.08568932
6,1350,0.08417637
6,1365,0.08270334
6,1380,0.08126846
6,1395,0.07987003
6,1410,0.07850644
6,1425,0.07717618
6,1440,0.07587779
6,1455,0.07460991
6,1470,0.07337124
6,1485,0.07216054
6,1500,0.07097667
6,1515,0.0698185
6,1530,0.068685
6,1545,0.06757517
6,1560,0.06648807
6,1575,0.06542283
6,1590,0.06437858
6,1605,0.06335454
6,1620,0.06234997
6,1635,0.06136414
6,1650,0.06039637
6,1665,0.05944605
6,1680,0.05851255
6,1695,0.05759531
6,1710,0.0566938
6,1725,0.05580749
6,1740,0.05493591
6,1755,0.0540786
6,1770,0.05323514
6,1785,0.0524051
6,1800,0.05158811
6,1815,0.0507838
6,1830,0.04999183
6,1845,0.04921187
6,1860,0.0484436
6,1875,0.04768674
6,1890,0.04694102
6,1905,0.04620616
6,1920,0.04548192
7,0,0
7,3,1.662006E-06
7,6,6.973992E-05
7,9,0.000476267
7,12,0.001712522
7,15,0.004412652
7,18,0.009238929
7,21,0.01677177
7,24,0.0274318
7,27,0.04143944
7,30,0.05880696
7,33,0.07935625
7,36,0.1027537
7,39,0.1285546
7,42,0.156249
7,45,0.1853019
7,48,0.2151855
7,51,0.2454035
7,54,0.2755062
7,57,0.3050982
7,60,0.3338422
7,63,0.3614591
7,66,0.3877259
7,69,0.4124707
7,72,0.4355683
7,75,0.4569346
7,78,0.4765211
7,81,0.4943102
7,84,0.5103097
7,87,0.5245486
7,90,0.5370734
7,93,0.5479439
7,96,0.5572306
7,99,0.5650119
7,102,0.5713718
7,105,0.5763979
7,108,0.5801796
7,111,0.5828066
7,114,0.5843681
7,117,0.5849516
7,120,0.5846425
7,135,0.5724558
7,150,0.5486554
7,165,0.5195584
7,180,0.489223
7,195,0.4599847
7,210,0.4329991
7,225,0.4086826
7,240,0.3870297
7,255,0.3678227
7,270,0.35076
7,285,0.3355281
7,300,0.321838
7,315,0.3094397
7,330,0.2981253
7,345,0.2877258
7,360,0.2781059
7,375,0.2691575
7,390,0.2607947
7,405,0.2529487
7,420,0.2455641
7,435,0.2385954
7,450,0.2320053
7,465,0.2257621
7,480,0.2198389
7,495,0.2142125
7,510,0.2088623
7,525,0.2037701
7,540,0.1989195
7,555,0.1942955
7,570,0.1898845
7,585,0.1856739
7,600,0.1816522
7,615,0.1778086
7,630,0.1741332
7,645,0.1706165
7,660,0.1672501
7,675,0.1640259
7,690,0.1609363
7,705,0.1579742
7,720,0.1551332
7,735,0.1524071
7,750,0.14979
7,765,0.1472765
7,780,0.1448614
7,795,0.1425399
7,810,0.1403073
7,825,0.1381591
7,840,0.1360913
7,855,0.1340997
7,870,0.1321805
7,885,0.1303299
7,900,0.1285446
7,915,0.126821
7,930,0.1251559
7,945,0.1235463
7,960,0.121989
7,975,0.1204814
7,990,0.1190205
7,1005,0.1176038
7,1020,0.1162288
7,1035,0.1148932
7,1050,0.1135945
7,1065,0.1123307
7,1080,0.1110997
7,1095,0.1098995
7,1110,0.1087283
7,1125,0.1075843
7,1140,0.1064658
7,1155,0.1053713
7,1170,0.1042991
7,1185,0.103248
7,1200,0.1022166
7,1215,0.1012035
7,1230,0.1002077
7,1245,0.09922791
7,1260,0.09826319
7,1275,0.09731252
7,1290,0.09637497
7,1305,0.09544966
7,1320,0.0945358
7,1335,0.09363261
7,1350,0.09273939
7,1365,0.09185547
7,1380,0.09098025
7,1395,0.09011316
7,1410,0.08925366
7,1425,0.08840127
7,1440,0.08755553
7,1455,0.08671603
7,1470,0.08588239
7,1485,0.08505426
7,1500,0.08423132
7,1515,0.08341328
7,1530,0.08259988
7,1545,0.08179087
7,1560,0.08098605
7,1575,0.0801852
7,1590,0.07938819
7,1605,0.07859484
7,1620,0.07780503
7,1635,0.07701863
7,1650,0.07623557
7,1665,0.07545574
7,1680,0.07467908
7,1695,0.07390554
7,1710,0.07313506
7,1725,0.07236763
7,1740,0.07160322
7,1755,0.07084181
7,1770,0.07008341
7,1785,0.06932802
7,1800,0.06857564
7,1815,0.06782632
7,1830,0.06708007
7,1845,0.06633692
7,1860,0.06559692
7,1875,0.06486011
7,1890,0.06412652
7,1905,0.06339622
