"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Atenolol|Whole Blood (Peripheral Venous Blood) [µmol/l]"
4,645,0.3328269
4,660,0.3305701
4,675,0.3283726
4,690,0.3262314
4,705,0.3241437
4,720,0.3221069
4,735,0.3201186
4,750,0.3181766
4,765,0.3162789
4,780,0.3144234
4,795,0.3126084
4,810,0.310832
4,825,0.3090927
4,840,0.3073889
4,855,0.3057191
4,870,0.3040819
4,885,0.3024759
4,900,0.3008999
4,915,0.2993526
4,930,0.2978328
4,945,0.2963394
4,960,0.2948711
4,975,0.293427
4,990,0.292006
4,1005,0.2906071
4,1020,0.2892293
4,1035,0.2878717
4,1050,0.2865333
4,1065,0.2852132
4,1080,0.2839105
4,1095,0.2826245
4,1110,0.2813543
4,1125,0.2800992
4,1140,0.2788582
4,1155,0.2776307
4,1170,0.276416
4,1185,0.2752133
4,1200,0.274022
4,1215,0.2728414
4,1230,0.2716709
4,1245,0.2705098
4,1260,0.2693576
4,1275,0.2682136
4,1290,0.2670774
4,1305,0.2659483
4,1320,0.2648259
4,1335,0.2637096
4,1350,0.262599
4,1365,0.2614936
4,1380,0.2603929
4,1395,0.2592965
4,1410,0.258204
4,1425,0.2571151
4,1440,0.2560292
5,0,0
5,3,1.35473E-07
5,6,4.907194E-06
5,9,3.09669E-05
5,12,0.0001066068
5,15,0.0002683521
5,18,0.0005562755
5,21,0.001009268
5,24,0.001661109
5,27,0.002537729
5,30,0.003655738
5,33,0.005022077
5,36,0.00663455
5,39,0.008482928
5,42,0.01055042
5,45,0.01281526
5,48,0.01525223
5,51,0.01783403
5,54,0.0205325
5,57,0.02331959
5,60,0.02616815
5,63,0.02905247
5,66,0.03194872
5,69,0.0348352
5,72,0.03769248
5,75,0.0405035
5,78,0.04325349
5,81,0.04592995
5,84,0.04852252
5,87,0.05102284
5,90,0.05342443
5,93,0.05572248
5,96,0.05791371
5,99,0.05999623
5,102,0.06196932
5,105,0.06383333
5,108,0.06558952
5,111,0.06723991
5,114,0.06878718
5,117,0.07023454
5,120,0.07158563
5,135,0.07704387
5,150,0.08075081
5,165,0.08323669
5,180,0.0849291
5,195,0.08613234
5,210,0.08704416
5,225,0.08778533
5,240,0.08842706
5,255,0.08901101
5,270,0.08956201
5,285,0.09009548
5,300,0.09062134
5,315,0.09114634
5,330,0.09167512
5,345,0.09221088
5,360,0.09275585
5,375,0.09331146
5,390,0.09387859
5,405,0.0944577
5,420,0.09504892
5,435,0.09565215
5,450,0.09626713
5,465,0.09689347
5,480,0.09753071
5,495,0.09817832
5,510,0.09883577
5,525,0.09950251
5,540,0.100178
5,555,0.1008616
5,570,0.1015528
5,585,0.102251
5,600,0.1029558
5,615,0.1036666
5,630,0.104383
5,645,0.1051044
5,660,0.1058303
5,675,0.1065604
5,690,0.1072941
5,705,0.108031
5,720,0.1087707
5,735,0.1095127
5,750,0.1102567
5,765,0.1110022
5,780,0.1117488
5,795,0.1124962
5,810,0.1132439
5,825,0.1139916
5,840,0.1147388
5,855,0.1154853
5,870,0.1162306
5,885,0.1169744
5,900,0.1177164
5,915,0.1184561
5,930,0.1191933
5,945,0.1199275
5,960,0.1206585
5,975,0.121386
5,990,0.1221096
5,1005,0.122829
5,1020,0.1235439
5,1035,0.124254
5,1050,0.124959
5,1065,0.1256586
5,1080,0.1263525
5,1095,0.1270405
5,1110,0.1277223
5,1125,0.1283976
5,1140,0.1290663
5,1155,0.1297279
5,1170,0.1303823
5,1185,0.1310293
5,1200,0.1316687
5,1215,0.1323002
5,1230,0.1329235
5,1245,0.1335386
5,1260,0.1341452
5,1275,0.1347432
5,1290,0.1353323
5,1305,0.1359123
5,1320,0.1364832
5,1335,0.1370447
5,1350,0.1375967
5,1365,0.1381391
5,1380,0.1386717
